TUN;25;FW;Anis Ben Slimane;16/03/2001
TUN;26;GK;Mouez Hassen;05/03/1995
CRC;1;GK;Keylor Navas;15/12/1986
CRC;2;MF;Daniel Chacón;11/04/2001
CRC;3;DF;Juan Pablo Vargas;06/06/1995
CRC;4;DF;Keysher Fuller;12/07/1994
CRC;5;MF;Celso Borges;27/05/1988
CRC;6;DF;Óscar Duarte;03/06/1989
CRC;7;FW;Anthony Contreras;29/01/2000
CRC;8;DF;Bryan Oviedo;18/02/1990
CRC;9;MF;Jewison Bennette;15/06/2004
CRC;10;MF;Bryan Ruiz;18/08/1985
CRC;11;FW;Johan Venegas;27/11/1988
CRC;12;FW;Joel Campbell;26/06/1992
CRC;13;MF;Gerson Torres;28/08/1997
CRC;14;MF;Youstin Salas;17/06/1996
CRC;15;DF;Francisco Calvo;08/07/1992
CRC;16;DF;Carlos Martínez;30/03/1999
CRC;17;MF;Yeltsin Tejeda;17/03/1992
CRC;18;GK;Esteban Alvarado;28/04/1989
CRC;19;DF;Kendall Waston;01/01/1988
CRC;20;MF;Brandon Aguilera;28/06/2003
CRC;21;MF;Douglas López;21/09/1998
CRC;22;DF;Rónald Matarrita;09/07/1994
CRC;23;GK;Patrick Sequeira;01/03/1999
CRC;24;MF;Roan Wilson;01/05/2002
CRC;25;MF;Anthony Hernández;11/12/2001
CRC;26;MF;Álvaro Zamora;09/03/2002
GER;1;GK;Manuel Neuer;27/03/1986
GER;2;DF;Antonio Rüdiger;03/03/1993
GER;3;DF;David Raum;22/04/1998
GER;4;DF;Matthias Ginter;19/01/1994
GER;5;DF;Thilo Kehrer;21/09/1996
GER;6;MF;Joshua Kimmich;08/02/1995
GER;7;FW;Kai Havertz;11/06/1999
GER;8;MF;Leon Goretzka;06/02/1995
GER;9;FW;Niclas Füllkrug;09/02/1993
GER;10;FW;Serge Gnabry;14/07/1995
GER;11;MF;Mario Götze;03/06/1992
GER;12;GK;Kevin Trapp;08/07/1990
GER;13;MF;Thomas Müller;13/09/1989
GER;14;MF;Jamal Musiala;26/02/2003
GER;15;DF;Niklas Süle;03/09/1995
GER;16;DF;Lukas Klostermann;03/06/1996
GER;17;MF;Julian Brandt;02/05/1996
GER;18;MF;Jonas Hofmann;14/07/1992
GER;19;MF;Leroy Sané;11/01/1996
GER;20;DF;Christian Günter;28/02/1993
GER;21;MF;İlkay Gündoğan;24/12/1990
GER;22;GK;Marc-André ter Stegen;30/04/1992
GER;23;DF;Nico Schlotterbeck;01/12/1999
GER;24;FW;Karim Adeyemi;18/01/2002
GER;25;DF;Armel Bella-Kotchap;11/12/2001
GER;26;FW;Youssoufa Moukoko;20/11/2004
JPN;1;GK;Eiji Kawashima;20/03/1983
JPN;2;DF;Miki Yamane;22/12/1993
JPN;3;DF;Shogo Taniguchi;15/07/1991
JPN;4;DF;Ko Itakura;27/01/1997
JPN;5;DF;Yuto Nagatomo;12/09/1986
JPN;6;MF;Wataru Endo;09/02/1993
JPN;7;MF;Gaku Shibasaki;28/05/1992
JPN;8;MF;Ritsu Dōan;16/06/1998
JPN;9;MF;Kaoru Mitoma;20/05/1997
JPN;10;MF;Takumi Minamino;16/01/1995
JPN;11;MF;Takefusa Kubo;04/06/2001
JPN;12;GK;Shūichi Gonda;03/03/1989
JPN;13;MF;Hidemasa Morita;10/05/1995
JPN;14;MF;Junya Ito;09/03/1993
JPN;15;MF;Daichi Kamada;05/08/1996
JPN;16;DF;Takehiro Tomiyasu;05/11/1998
JPN;17;MF;Ao Tanaka;10/09/1998
JPN;18;FW;Takuma Asano;10/11/1994
JPN;19;DF;Hiroki Sakai;12/04/1990
JPN;20;FW;Shuto Machino;30/09/1999
JPN;21;FW;Ayase Ueda;28/08/1998
JPN;22;DF;Maya Yoshida;24/08/1988
JPN;23;GK;Daniel Schmidt;03/02/1992
JPN;24;MF;Yuki Soma;25/02/1997
JPN;25;FW;Daizen Maeda;20/12/1997
JPN;26;DF;Hiroki Ito;12/05/1999
ESP;1;GK;Robert Sánchez;18/11/1997
ESP;2;DF;César Azpilicueta;28/08/1989
ESP;3;DF;Eric García;09/01/2001
ESP;4;DF;Pau Torres;16/01/1997
ESP;5;MF;Sergio Busquets;16/07/1988
ESP;6;MF;Marcos Llorente;30/01/1995
ESP;7;FW;Álvaro Morata;23/12/1992
ESP;8;MF;Koke;08/01/1992
ESP;9;MF;Gavi;05/08/2004
ESP;10;FW;Marco Asensio;21/01/1996
ESP;11;FW;Ferran Torres;29/02/2000
ESP;12;FW;Nico Williams;12/07/2002
ESP;13;GK;David Raya;15/09/1995
ESP;14;DF;Alejandro Balde;18/12/2003
ESP;15;DF;Hugo Guillamón;31/01/2000
ESP;16;MF;Rodri;22/06/1996
ESP;17;FW;Yeremy Pino;20/12/2002
ESP;18;DF;Jordi Alba;21/03/1989
ESP;19;MF;Carlos Soler;02/01/1997
ESP;20;DF;Dani Carvajal;11/01/1992
ESP;21;FW;Dani Olmo;07/05/1998
ESP;22;FW;Pablo Sarabia;11/05/1992
ESP;23;GK;Unai Simón;11/06/1997
ESP;24;DF;Aymeric Laporte;27/05/1994
ESP;25;FW;Ansu Fati;31/12/2002
ESP;26;MF;Pedri;25/11/2002
BEL;1;GK;Thibaut Courtois;11/05/1992
BEL;2;DF;Toby Alderweireld;02/03/1989
BEL;3;DF;Arthur Theate;25/05/2000
BEL;4;DF;Wout Faes;03/04/1998
BEL;5;DF;Jan Vertonghen;24/04/1987
BEL;6;MF;Axel Witsel;12/01/1989
BEL;7;MF;Kevin De Bruyne;28/06/1991
BEL;8;MF;Youri Tielemans;07/05/1997
BEL;9;FW;Romelu Lukaku;13/05/1993
BEL;10;FW;Eden Hazard;07/01/1991
BEL;11;FW;Yannick Carrasco;04/09/1993
BEL;12;GK;Simon Mignolet;06/03/1988
BEL;13;GK;Koen Casteels;25/06/1992
BEL;14;FW;Dries Mertens;06/05/1987
BEL;15;MF;Thomas Meunier;12/09/1991
BEL;16;MF;Thorgan Hazard;29/03/1993
BEL;17;FW;Leandro Trossard;04/12/1994
BEL;18;MF;Amadou Onana;16/08/2001
BEL;19;DF;Leander Dendoncker;15/04/1995
BEL;20;MF;Hans Vanaken;24/08/1992
BEL;21;MF;Timothy Castagne;05/12/1995
BEL;22;FW;Charles De Ketelaere;10/03/2001
BEL;23;FW;Michy Batshuayi;02/12/1993
BEL;24;FW;Loïs Openda;16/02/2000
BEL;25;FW;Jérémy Doku;27/05/2002
BEL;26;DF;Zeno Debast;24/12/2003
CAN;1;GK;Dayne St. Clair;09/05/1997
CAN;2;DF;Alistair Johnston;08/12/1998
CAN;3;DF;Sam Adekugbe;16/01/1995
CAN;4;DF;Kamal Miller;16/05/1997
CAN;5;DF;Steven Vitória;11/01/1987
CAN;6;MF;Samuel Piette;12/11/1994
CAN;7;MF;Stephen Eustáquio;21/12/1996
CAN;8;MF;Liam Fraser;13/02/1998
CAN;9;FW;Lucas Cavallini;28/12/1992
